Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [MCC],Price [MCC],In stock [MCC],Low stock [MCC],Available for sale [MOE],Price [MOE],In stock [MOE],Low stock [MOE],Available for sale [WareHouse],Price [WareHouse],In stock [WareHouse],Low stock [WareHouse],"Tax - ""VAT"" (5%)"
bracelet-2602180302,2602180302,Bracelet 2602180302,Bracelet,SS 18kGP Glass Stone,Y,,,,,,,280.00,210.00,2026021803022,,,Y,Y,280.00,1.000,1.000,Y,280.00,2.000,1.000,Y,280.00,0.000,,Y
bracelet-2602180303,2602180303,Bracelet 2602180303,Bracelet,SS 18kGP Glass Stone,Y,,,,,,,280.00,210.00,2026021803039,,,Y,Y,280.00,0.000,1.000,Y,280.00,3.000,1.000,Y,280.00,0.000,,Y
bracelet-2602180304,2602180304,Bracelet 2602180304,Bracelet,SS 18kGP Natural Beads,Y,,,,,,,170.00,127.50,2026021803046,,,Y,Y,170.00,1.000,1.000,Y,170.00,1.000,1.000,Y,170.00,0.000,,Y
bracelet-2602180305,2602180305,Bracelet 2602180305,Bracelet,<p>SS 18kGP Zircon</p>,Y,,,,,,,150.00,112.50,2026021803053,,,Y,N,150.00,0.000,1.000,Y,150.00,3.000,1.000,N,150.00,0.000,,Y
bracelet-2602180306,2602180306,Bracelet 2602180306,Bracelet,<p>SS 18kGP Zircon</p>,Y,,,,,,,190.00,142.50,2026021803060,,,Y,Y,190.00,0.000,1.000,Y,190.00,4.000,1.000,N,190.00,0.000,,Y
bracelet-2602180307,2602180307,Bracelet 2602180307,Bracelet,<p>SS 18kGP Zircon</p>,Y,,,,,,,260.00,195.00,2026021803077,,,Y,N,260.00,0.000,1.000,Y,260.00,0.000,1.000,N,260.00,0.000,,Y
bracelet-2602180308,2602180308,Bracelet 2602180308,Bracelet,<p>SS 18kGP Zircon</p>,Y,,,,,,,260.00,195.00,2026021803084,,,Y,N,260.00,0.000,1.000,Y,260.00,5.000,1.000,N,260.00,0.000,,Y
bracelet-2602180309,2602180309,Bracelet 2602180309,Bracelet,<p>SS 18kGP Zircon</p>,Y,,,,,,,280.00,195.00,2026021803091,,,Y,N,280.00,0.000,1.000,Y,280.00,4.000,1.000,N,280.00,0.000,,Y
bracelet-2602190303,2602190303,Bracelet 2602190303,[1] 2603 품절,<p>Copper 18KGP Zircon</p>,Y,,,,,,,200.00,150.00,2026021903036,,,Y,N,200.00,0.000,,Y,200.00,0.000,1.000,N,200.00,0.000,,Y
bracelet-2602190304,2602190304,Bracelet 2602190304,Bracelet,<p>Copper 18kGP Zircon</p>,N,,,,,,,280.00,210.00,2026021903043,,,Y,Y,280.00,1.000,1.000,Y,280.00,0.000,1.000,Y,280.00,0.000,,Y
bracelet-2602190305,2602190305,Bracelet 2602190305,Bracelet,<p>Copper 18kGP Zircon</p>,N,,,,,,,280.00,210.00,2026021903050,,,Y,Y,280.00,-1.000,1.000,Y,280.00,1.000,1.000,Y,280.00,0.000,,Y
bracelet-2602190306,2602190306,Bracelet 2602190306,Bracelet,<p>Silver925 18kGP Zircon</p>,N,,,,,,,450.00,337.50,2026021903067,,,Y,Y,450.00,0.000,1.000,Y,450.00,1.000,1.000,Y,450.00,0.000,,Y
bracelet-2602190307,2602190307,Bracelet 2602190307,Bracelet,<p>Silver925 18kGP Zircon</p>,N,,,,,,,550.00,412.50,2026021903074,,,Y,Y,550.00,0.000,1.000,Y,550.00,0.000,1.000,Y,550.00,0.000,,Y
bracelet-2603150303,2603150303,Bracelet 2603150303,Bracelet,Brass 18kGP,N,,,,,,,190.00,142.50,2026031503035,,,Y,Y,190.00,3.000,1.000,Y,190.00,2.000,1.000,Y,190.00,0.000,,Y
bracelet-2603150304,2603150304,Bracelet 2603150304,Bracelet,Brass 18kGP Zircon,N,,,,,,,190.00,142.50,2026031503042,,,Y,Y,190.00,2.000,1.000,Y,190.00,5.000,1.000,Y,190.00,0.000,,Y
bracelet-2603150305,2603150305,Bracelet 2603150305,Bracelet,Brass 18kGP Zircon,N,,,,,,,190.00,142.50,2026031503059,,,Y,Y,190.00,0.000,1.000,Y,190.00,3.000,1.000,Y,190.00,0.000,,Y
bracelet-2603150308,2603150308,Bracelet 2603150308,Bracelet,Silver925 18kGP Zircon,N,,,,,,,290.00,217.50,2026031503080,,,Y,Y,290.00,0.000,1.000,Y,290.00,3.000,1.000,Y,290.00,0.000,,Y
bracelet-2603150309,2603150309,Bracelet 2603150309,Bracelet,SS 18kGP,N,,,,,,,140.00,105.00,2026031503097,,,Y,Y,140.00,1.000,1.000,Y,140.00,2.000,1.000,Y,140.00,0.000,,Y
bracelet-2603150310,2603150310,Bracelet 2603150310,Bracelet,SS 18kGP Zircon,N,,,,,,,160.00,120.00,2026031503103,,,Y,Y,160.00,0.000,1.000,Y,160.00,5.000,1.000,Y,160.00,0.000,,Y
bracelet-2603160301,2603160301,Bracelet 2603160301,Bracelet,Zircon 18KGP,N,,,,,,,260.00,195.00,2026031603018,,,Y,Y,260.00,0.000,1.000,Y,260.00,0.000,1.000,Y,260.00,0.000,,Y
bracelet-2603160302,2603160302,Bracelet 2603160302,Bracelet,<p>Silver925 18kGP Zircon</p>,N,,,,,,,290.00,217.50,2026031603025,,,Y,N,290.00,0.000,,Y,290.00,10.000,1.000,Y,290.00,0.000,,Y
bracelet-2603160303,2603160303,Bracelet 2603160303,Bracelet,Brass 18kGP Zircon,N,,,,,,,190.00,142.50,2026031603032,,,Y,Y,190.00,1.000,1.000,N,190.00,0.000,1.000,Y,190.00,0.000,,Y
bracelet-2604150301,2604150301,Bracelet 2604150301,Bracelet,Silver925 FW Pearl,N,,,,,,,320.00,240.00,2026041503018,,,Y,N,320.00,0.000,1.000,Y,320.00,3.000,1.000,Y,320.00,0.000,,Y
bracelet-2604150302,2604150302,Bracelet 2604150302,Bracelet,Silver925 18kGP Zircon,N,,,,,,,230.00,172.50,2026041503025,,,Y,Y,230.00,3.000,1.000,Y,230.00,3.000,1.000,Y,230.00,0.000,,Y
bracelet-2604150303,2604150303,Bracelet 2604150303,Bracelet,Silver925 18kGP Zircon,N,,,,,,,230.00,172.50,2026041503032,,,Y,Y,230.00,1.000,1.000,Y,230.00,0.000,1.000,Y,230.00,0.000,,Y
bracelet-2604150304,2604150304,Bracelet 2604150304,Bracelet,Silver925 18kGP Zircon,N,,,,,,,230.00,172.50,2026041503049,,,Y,Y,230.00,3.000,1.000,Y,230.00,2.000,1.000,Y,230.00,0.000,,Y
bracelet-2604150305,2604150305,Bracelet 2604150305,Bracelet,Silver925 18kGP Zircon,N,,,,,,,230.00,172.50,2026041503056,,,Y,Y,230.00,0.000,1.000,Y,230.00,3.000,1.000,Y,230.00,0.000,,Y
bracelet-2604150306,2604150306,Bracelet 2604150306,Bracelet,SS 18kGP,N,,,,,,,130.00,97.50,2026041503063,,,Y,Y,130.00,0.000,1.000,Y,130.00,-1.000,1.000,Y,130.00,0.000,,Y
bracelet-2604150307,2604150307,Bracelet 2604150307,Bracelet,SS 18kGP,N,,,,,,,130.00,97.50,2026041503070,,,Y,Y,130.00,1.000,1.000,Y,130.00,1.000,1.000,Y,130.00,0.000,,Y
bracelet-2604150308,2604150308,Bracelet 2604150308,Bracelet,<p>SS 18kGP</p>,N,,,,,,,150.00,112.50,2026041503087,,,Y,Y,150.00,3.000,1.000,N,150.00,0.000,1.000,Y,150.00,0.000,,Y
bracelet-2604150309,2604150309,Bracelet 2604150309,Bracelet,SS 18kGP,N,,,,,,,160.00,120.00,2026041503094,,,Y,Y,160.00,1.000,1.000,Y,160.00,0.000,1.000,Y,160.00,0.000,,Y
bracelet-2604150310,2604150310,Bracelet 2604150310,Bracelet,SS 18kGP Zircon,N,,,,,,,180.00,135.00,2026041503100,,,Y,Y,180.00,-1.000,1.000,Y,180.00,1.000,1.000,Y,180.00,0.000,,Y
bracelet-2604160301,2604160301,Bracelet 2604160301,Bracelet,SS 18kGP Zircon,N,,,,,,,180.00,135.00,2026041603015,,,Y,Y,180.00,0.000,1.000,Y,180.00,-1.000,1.000,Y,180.00,0.000,,Y
bracelet-2604160303,2604160303,Bracelet 2604160303,Bracelet,SS 18kGP,N,,,,,,,140.00,105.00,2026041603039,,,Y,Y,140.00,2.000,1.000,Y,140.00,2.000,1.000,Y,140.00,0.000,,Y
bracelet-2605150301,2605150301,Bracelet 2605150301,Bracelet,Zircon 18kGP,N,,,,,,,250.00,187.50,2026051503015,,,Y,Y,250.00,0.000,1.000,N,250.00,0.000,,Y,250.00,0.000,,Y
bracelet-2605150302,2605150302,Bracelet 2605150302,Bracelet,Zircon 18kGP,N,,,,,,,260.00,195.00,2026051503022,,,Y,Y,260.00,0.000,1.000,N,260.00,0.000,,Y,260.00,0.000,,Y
bracelet-2606150301,2606150301,Bracelet 2606150301,Bracelet,Brass 18KGP FW Pearl,N,,,,,,,220.00,165.00,2026061503012,,,Y,Y,220.00,3.000,1.000,N,220.00,0.000,,Y,220.00,0.000,,Y
bracelet-2606150302,2606150302,Bracelet 2606150302,Bracelet,Brass 18kGP Zircon,N,,,,,,,160.00,120.00,2026061503029,,,Y,Y,160.00,3.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
bracelet-2606150303,2606150303,Bracelet 2606150303,Bracelet,Brass 18kGP Zircon,N,,,,,,,160.00,120.00,2026061503036,,,Y,Y,160.00,2.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
bracelet-2606150304,2606150304,Bracelet 2606150304,Bracelet,Silver925 18kGP Zircon ,N,,,,,,,200.00,150.00,2026061503043,,,Y,Y,200.00,2.000,1.000,Y,200.00,1.000,1.000,Y,200.00,0.000,,Y
bracelet-2606150305,2606150305,Bracelet 2606150305,Bracelet,Silver925 18kGP Zircon ,N,,,,,,,200.00,150.00,2026061503050,,,Y,Y,200.00,1.000,1.000,Y,200.00,0.000,1.000,Y,200.00,0.000,,Y
bracelet-2606150306,2606150306,Bracelet 2606150306,Bracelet,SS 18kGP,N,,,,,,,160.00,120.00,2026061503067,,,Y,Y,160.00,0.000,1.000,Y,160.00,0.000,1.000,Y,160.00,0.000,,Y
bracelet-2606150307,2606150307,Bracelet 2606150307,Bracelet,SS 18kGP FW Pearl,N,,,,,,,160.00,120.00,2026061503074,,,Y,Y,160.00,1.000,1.000,Y,160.00,1.000,1.000,Y,160.00,0.000,,Y
bracelet-2606150308,2606150308,Bracelet 2606150308,Bracelet,<p>SS 18kGP FW Pearl</p>,N,,,,,,,160.00,120.00,2026061503081,,,Y,Y,160.00,0.000,1.000,Y,160.00,0.000,1.000,Y,160.00,0.000,,Y
bracelet-2606150309,2606150309,Bracelet 2606150309,Bracelet,SS 18kGP FW Pearl,N,,,,,,,240.00,180.00,2026061503098,,,Y,Y,240.00,2.000,1.000,N,240.00,0.000,,Y,240.00,0.000,,Y
bracelet-2606150310,2606150310,Bracelet 2606150310,Bracelet,SS 18kGP FW Pearl,N,,,,,,,250.00,187.50,2026061503104,,,Y,Y,250.00,1.000,1.000,Y,250.00,0.000,1.000,Y,250.00,0.000,,Y
bracelet-2606160301,2606160301,Bracelet 2606160301,Bracelet,SS 18kGP Zircon,N,,,,,,,180.00,135.00,2026061603019,,,Y,Y,180.00,0.000,1.000,Y,180.00,2.000,1.000,Y,180.00,0.000,,Y
bracelet-2606160307,2606160307,Bracelet 2606160307,New 2606,SS 18kGP Zircon,N,,,,,,,160.00,120.00,2026061603071,,,Y,Y,160.00,4.000,1.000,Y,160.00,5.000,1.000,Y,160.00,0.000,,Y
bracelet-2606160308,2606160308,Bracelet 2606160308,New 2606,Silver925 18kGP Zircon ,N,,,,,,,250.00,187.50,2026061603088,,,Y,Y,250.00,2.000,1.000,Y,250.00,0.000,1.000,Y,250.00,0.000,,Y
bracelet-2606160309,2606160309,Bracelet 2606160309,New 2606,Silver925 18kGP Zircon ,N,,,,,,,270.00,202.50,2026061603095,,,Y,Y,270.00,4.000,1.000,N,270.00,0.000,,Y,270.00,0.000,,Y
bracelet-2606160310,2606160310,Bracelet 2606160310,New 2606,SS 18kGP,N,,,,,,,130.00,97.50,2026061603101,,,Y,Y,130.00,4.000,1.000,N,130.00,0.000,,Y,130.00,0.000,,Y
bracelet-2606170301,2606170301,Bracelet 2606170301,New 2606,SS 18kGP,N,,,,,,,150.00,112.50,2026061703016,,,Y,Y,150.00,2.000,1.000,Y,150.00,3.000,1.000,Y,150.00,0.000,,Y
bracelet-2606170302,2606170302,Bracelet 2606170302,New 2606,SS 18kGP FW Pearl,N,,,,,,,150.00,112.50,2026061703023,,,Y,Y,150.00,4.000,1.000,N,150.00,0.000,,Y,150.00,0.000,,Y
bracelet-2606170303,2606170303,Bracelet 2606170303,New 2606,SS 18kGP Zircon,N,,,,,,,160.00,120.00,2026061703030,,,Y,Y,160.00,4.000,1.000,Y,160.00,0.000,1.000,Y,160.00,0.000,,Y
bracelet-2606170304,2606170304,Bracelet 2606170304,New 2606,SS 18kGP Zircon,N,,,,,,,170.00,127.50,2026061703047,,,Y,Y,170.00,1.000,1.000,Y,170.00,2.000,1.000,Y,170.00,0.000,,Y
bracelet-2606170305,2606170305,Bracelet 2606170305,New 2606,SS 18kGP Zircon,N,,,,,,,180.00,135.00,2026061703054,,,Y,Y,180.00,4.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
bracelet-2606170307,2606170307,Bracelet 2606170307,New 2606,<p>SS 18kGP</p>,N,,,,,,,120.00,90.00,2026061703078,,,Y,Y,120.00,1.000,1.000,Y,120.00,2.000,1.000,Y,120.00,0.000,,Y
bracelet-2607150301,2607150301,Bracelet 2607150301,New,SS 18kGP,N,,,,,,,150.00,112.50,2026071503019,,,Y,Y,150.00,2.000,1.000,Y,150.00,2.000,1.000,Y,150.00,0.000,,Y
bracelet-2607150302,2607150302,Bracelet 2607150302,New,Titanium 18kGP Zircon ,N,,,,,,,320.00,240.00,2026071503026,,,Y,Y,320.00,1.000,1.000,Y,320.00,2.000,1.000,Y,320.00,0.000,,Y
bracelet-2607150303,2607150303,Bracelet 2607150303,New,Titanium 18kGP Zircon ,N,,,,,,,320.00,240.00,2026071503033,,,Y,Y,320.00,1.000,1.000,N,320.00,0.000,,Y,320.00,0.000,,Y
bracelet-2607150304,2607150304,Bracelet 2607150304,New,Titanium 18kGP Zircon ,N,,,,,,,350.00,262.50,2026071503040,,,Y,Y,350.00,2.000,1.000,Y,350.00,2.000,1.000,Y,350.00,0.000,,Y
bracelet-2607150305,2607150305,Bracelet 2607150305,New,Titanium 18kGP Zircon ,N,,,,,,,350.00,262.50,2026071503057,,,Y,Y,350.00,3.000,1.000,N,350.00,0.000,,Y,350.00,0.000,,Y
bracelet-2607150306,2607150306,Bracelet 2607150306,New,Titanium 18kGP Zircon ,N,,,,,,,360.00,270.00,2026071503064,,,Y,Y,360.00,3.000,1.000,Y,360.00,2.000,1.000,Y,360.00,0.000,,Y
bracelet-2607150307,2607150307,Bracelet 2607150307,New,Titanium 18kGP Zircon ,N,,,,,,,360.00,270.00,2026071503071,,,Y,Y,360.00,4.000,1.000,Y,360.00,2.000,1.000,Y,360.00,0.000,,Y
bracelet-2607150308,2607150308,Bracelet 2607150308,New,SS 18kGP,N,,,,,,,140.00,105.00,2026071503088,,,Y,Y,140.00,4.000,1.000,Y,140.00,4.000,1.000,Y,140.00,0.000,,Y
bracelet-2607150309,2607150309,Bracelet 2607150309,New,SS 18kGP,N,,,,,,,160.00,120.00,2026071503095,,,Y,Y,160.00,4.000,1.000,Y,160.00,4.000,1.000,Y,160.00,0.000,,Y
bracelet-2607150310,2607150310,Bracelet 2607150310,New,SS 18kGP Natural Stone,N,,,,,,,150.00,112.50,2026071503101,,,Y,Y,150.00,4.000,1.000,Y,150.00,3.000,1.000,Y,150.00,0.000,,Y
bracelet-2607160303,2607160303,Bracelet 2607160303,New,Silver925 Zircon ,N,,,,,,,280.00,210.00,2026071603030,,,Y,Y,280.00,5.000,1.000,N,280.00,0.000,,Y,280.00,0.000,,Y
children-set-2605150601,2605150601,Children set 2605150601,5 Anklet Etc,Shell & Zircon 18kGP,N,,,,,,,280.00,150.00,2026051506016,,,Y,Y,200.00,0.000,1.000,N,280.00,0.000,,Y,280.00,0.000,,Y
children-set-2605150602,2605150602,Children set 2605150602,5 Anklet Etc,Zircon 18kGP,N,,,,,,,280.00,210.00,2026051506023,,,Y,Y,280.00,1.000,1.000,N,280.00,0.000,,Y,280.00,0.000,,Y
children-set-2605150603,2605150603,Children set 2605150603,5 Anklet Etc,Zircon 18kGP,N,,,,,,,280.00,150.00,2026051506030,,,Y,Y,200.00,0.000,1.000,N,280.00,0.000,,Y,280.00,0.000,,Y
451381-earcuff-2,42401381,Ear Cuff 04240138,1 Earring,<p>Silver925 18kGP</p>,Y,,,,,,,50.00,25.00,2023042401381,,,Y,Y,50.00,11.000,1.000,Y,50.00,0.000,,Y,50.00,0.000,,Y
05130108-earcuff,05130108,Ear Cuff 05130108,1 Earring,<p>Titanium 18kGP Zircon</p>,Y,,,,,,,80.00,60.00,2024051301082,,,Y,N,80.00,0.000,,Y,80.00,7.000,1.000,N,80.00,0.000,,Y
07050108-earcuff,07050108,Ear Cuff 07050108,[1] 2603 품절,<p>Zircon 18KGP</p>,Y,,,,,,,100.00,75.00,2024070501081,,,Y,N,100.00,0.000,,Y,100.00,0.000,1.000,N,100.00,0.000,,Y
07050109-earcuff,07050109,Ear Cuff 07050109,1 Earring,<p>Zircon 18KGP</p>,Y,,,,,,,100.00,75.00,2024070501098,,,Y,N,100.00,0.000,,Y,100.00,0.000,1.000,N,100.00,0.000,,Y
07050111-earcuff,07050111,Ear Cuff 07050111,1 Earring,<p>Zircon 18KGP</p>,Y,,,,,,,100.00,75.00,2024070501111,,,Y,N,100.00,0.000,,Y,100.00,0.000,1.000,N,100.00,0.000,,Y
ear-cuff-2502130115,2502130115,Ear Cuff 2502130115,1 Earring,<p>Zircon 18KGP</p>,Y,,,,,,,80.00,60.00,2025021301156,,,Y,Y,80.00,1.000,1.000,N,80.00,0.000,,Y,80.00,0.000,,Y
ear-cuff-2502130116,2502130116,Ear Cuff 2502130116,1 Earring,<p>Zircon 18KGP</p>,Y,,,,,,,80.00,60.00,2025021301163,,,Y,Y,80.00,4.000,1.000,N,80.00,0.000,,Y,80.00,0.000,,Y
earcuff-2505080109,2505080109,Ear Cuff 2505080109,1 Earring,<p>SS 18kGP</p>,N,,,,,,,160.00,120.00,2025050801092,,,Y,Y,160.00,3.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
earcuff-2505080110,2505080110,Ear Cuff 2505080110,1 Earring,<p>SS 18kGP</p>,N,,,,,,,160.00,120.00,2025050801108,,,Y,Y,160.00,1.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
earcuff-2506060106,2506060106,Ear Cuff 2506060106,1 Earring,<p>SS 18kGP?Zircon</p>,N,,,,,,,180.00,135.00,2025060601064,,,Y,Y,180.00,3.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
ear-cuff-2511090101,2511090101,Ear Cuff 2511090101,1 Earring,<p>Silver925 18kGP Zircon</p>,N,,,,,,,130.00,97.50,2025110901014,,,Y,Y,130.00,0.000,1.000,N,130.00,0.000,,Y,130.00,0.000,,Y
ear-cuff-2511090102,2511090102,Ear Cuff 2511090102,1 Earring,<p>Silver925 18kGP Zircon</p>,N,,,,,,,130.00,97.50,2025110901021,,,Y,Y,130.00,1.000,1.000,N,130.00,0.000,,Y,130.00,0.000,,Y
ear-cuff-2512100104,2512100104,Ear Cuff 2512100104,1 Earring,<p>SS 18kGP Zircon</p>,Y,,,,,,,180.00,135.00,2025121001048,,,Y,Y,180.00,1.000,1.000,Y,180.00,1.000,1.000,Y,180.00,0.000,,Y
ear-cuff-2602310109,2602310109,Ear Cuff 2602310109,Earring,<p>Silver925 18kGP Zircon</p>,Y,,,,,,,130.00,97.50,2026023101096,,,Y,N,130.00,0.000,1.000,Y,130.00,1.000,1.000,N,130.00,0.000,,Y
ear-cuff-2602310110,2602310110,Ear Cuff 2602310110,Earring,<p>Silver925 18kGP Zircon</p>,Y,,,,,,,130.00,97.50,2026023101102,,,Y,N,130.00,0.000,1.000,Y,130.00,0.000,1.000,N,130.00,0.000,,Y
04250601-ear-piercing,04250601,Ear Piercing 04250601,1 Earring,<p>Copper 18kGP Zircon</p>,Y,,,,,,,85.00,63.75,2024042506014,,,Y,N,85.00,0.000,,Y,85.00,0.000,1.000,N,85.00,0.000,,Y
04250602-ear-piercing,04250602,Ear Piercing 04250602,1 Earring,<p>SS Zircon</p>,Y,,,,,,,75.00,56.25,2024042506021,,,Y,Y,75.00,1.000,1.000,N,75.00,0.000,,Y,75.00,0.000,,Y
721176-ear-stud,72101176,Ear Stud 07210117,1 Earring,<p>Silver925 18KGP Opal &amp; Zircon</p>,Y,,,,,,,110.00,55.00,2023072101176,,,Y,Y,110.00,1.000,1.000,Y,110.00,0.000,,Y,110.00,0.000,,Y
721220-ear-stud,72101220,Ear Stud 07210122,1 Earring,<p>SS 18KGP Opal</p>,Y,,,,,,,90.00,45.00,2023072101220,,,Y,Y,90.00,1.000,1.000,Y,90.00,0.000,,Y,90.00,0.000,,Y
721237-ear-stud,72101237,Ear Stud 07210123,1 Earring,<p>SS 18KGP Opal</p>,Y,,,,,,,95.00,47.50,2023072101237,,,Y,Y,95.00,4.000,1.000,Y,95.00,0.000,,Y,95.00,0.000,,Y
earcuff-2601230104,2601230104,Earcuff 2601230104,Earring,SS 18kGP,Y,,,,,,,90.00,67.50,2026012301049,,,Y,Y,90.00,4.000,1.000,Y,90.00,2.000,1.000,Y,90.00,0.000,,Y
earcuff-2601230105,2601230105,Earcuff 2601230105,Earring,SS 18kGP,Y,,,,,,,100.00,75.00,2026012301056,,,Y,Y,100.00,6.000,1.000,Y,100.00,3.000,1.000,Y,100.00,0.000,,Y
earcuff-2601230106,2601230106,Earcuff 2601230106,Earring,<p>SS 18kGP</p>,Y,,,,,,,180.00,135.00,2026012301063,,,Y,N,180.00,0.000,1.000,Y,180.00,0.000,1.000,N,180.00,0.000,,Y
earcuff-2601230107,2601230107,Earcuff 2601230107,Earring,<p>SS 18KGP Zircon</p>,Y,,,,,,,180.00,135.00,2026012301070,,,Y,N,180.00,0.000,1.000,Y,180.00,2.000,1.000,N,180.00,0.000,,Y
earring,10000,Earring,Etc,,N,,,,,,,variable,0.00,,,,N,Y,variable,,,Y,variable,,,Y,variable,,,Y
111074-earring,10101074,Earring 01010107,1 Earring,<p>Silver925 Swarovski Pearl</p>,Y,,,,,,,230.00,115.00,2024010101074,,,Y,Y,230.00,1.000,1.000,Y,230.00,0.000,,Y,230.00,0.000,,Y
111104-earring,10101104,Earring 01010110,1 Earring,<p>Silver925 18kGP</p>,Y,,,,,,,185.00,92.50,2024010101104,,,Y,Y,185.00,4.000,1.000,Y,185.00,0.000,,Y,185.00,0.000,,Y
01050107-earring,01050107,Earring 01050107,1 Earring,<p>Silver925 FW Pearl</p>,Y,,,,,,,170.00,127.50,2025010501079,,,Y,Y,170.00,1.000,1.000,N,170.00,0.000,,Y,170.00,0.000,,Y
earring-01050110,1050110,Earring 01050110,1 Earring,<p>Silver925 18kGP</p>,N,,,,,,,280.00,210.00,2025010501109,,,Y,N,280.00,0.000,,Y,280.00,0.000,1.000,N,280.00,0.000,,Y
01050111-earring,01050111,Earring 01050111,1 Earring,<p>Silver925 18kGP Zircon</p>,Y,,,,,,,120.00,90.00,2025010501116,,,Y,Y,120.00,2.000,1.000,N,120.00,0.000,,Y,120.00,0.000,,Y
01050112-earring,01050112,Earring 01050112,1 Earring,<p>Silver925 18kGP Zircon</p>,Y,,,,,,,120.00,90.00,2025010501123,,,Y,Y,120.00,3.000,1.000,N,120.00,0.000,,Y,120.00,0.000,,Y
01070104-earring,01070104,Earring 01070104,1 Earring,<p>Silver925 18kGP Zircon</p>,Y,,,,,,,260.00,195.00,2025010701042,,,Y,Y,260.00,3.000,1.000,N,260.00,0.000,,Y,260.00,0.000,,Y
01070106-earring,01070106,Earring 01070106,1 Earring,<p>Silver925 18kGP Zircon</p>,Y,,,,,,,270.00,202.50,2025010701066,,,Y,Y,270.00,1.000,1.000,N,270.00,0.000,,Y,270.00,0.000,,Y
01070107-earring,01070107,Earring 01070107,1 Earring,<p>Silver925 18kGP Zircon</p>,Y,,,,,,,320.00,240.00,2025010701073,,,Y,Y,320.00,2.000,1.000,N,320.00,0.000,,Y,320.00,0.000,,Y
01070108-earring,01070108,Earring 01070108,1 Earring,<p>SS 18kGP</p>,Y,,,,,,,130.00,97.50,2025010701080,,,Y,Y,130.00,1.000,1.000,N,130.00,0.000,,Y,130.00,0.000,,Y
01100103-earring,01100103,Earring 01100103,1 Earring,<p>Silver925 18kGP Zircon</p>,Y,,,,,,,70.00,52.50,2025011001035,,,Y,Y,70.00,1.000,1.000,N,70.00,0.000,,Y,70.00,0.000,,Y
01260104-earring,01260104,Earring 01260104,1 Earring,<p>Silver925 18kGP FW Pearl</p>,Y,,,,,,,190.00,95.00,2024012601046,,,Y,N,190.00,0.000,,Y,190.00,1.000,1.000,N,190.00,0.000,,Y
01260107-earring,01260107,Earring 01260107,1 Earring,<p>Silver925 18kGP FW Pearl</p>,Y,,,,,,,170.00,85.00,2024012601077,,,Y,N,170.00,0.000,,Y,170.00,1.000,1.000,N,170.00,0.000,,Y
01290115-earring,01290115,Earring 01290115,1 Earring,<p>Titanium 18kGP</p>,Y,,,,,,,165.00,82.50,2024012901153,,,Y,Y,165.00,1.000,1.000,Y,165.00,0.000,,Y,165.00,0.000,,Y
02100101-earring,02100101,Earring 02100101,1 Earring,<p>Silver925</p>,Y,,,,,,,140.00,70.00,2024021001011,,,Y,Y,140.00,2.000,1.000,Y,140.00,0.000,,Y,140.00,0.000,,Y
02100102-earring,02100102,Earring 02100102,1 Earring,<p>SS 18kGP</p>,Y,,,,,,,40.00,20.00,2024021001028,,,Y,Y,40.00,6.000,1.000,Y,40.00,0.000,,Y,40.00,0.000,,Y
02100103-earring,02100103,Earring 02100103,1 Earring,<p>SS 18kGP</p>,Y,,,,,,,50.00,25.00,2024021001035,,,Y,Y,50.00,5.000,1.000,Y,50.00,0.000,,Y,50.00,0.000,,Y
02100104-earring,02100104,Earring 02100104,1 Earring,<p>SS 18kGP</p>,Y,,,,,,,60.00,30.00,2024021001042,,,Y,Y,60.00,2.000,1.000,Y,60.00,0.000,,Y,60.00,0.000,,Y
earring-03200109,3200109,Earring 03200109,[1] 2603 품절,<p>Silver925 18kGP Zircon</p>,N,,,,,,,185.00,92.50,2024032001093,,,Y,N,185.00,0.000,,N,185.00,0.000,,Y,185.00,0.000,0.000,Y
03200110-earring,03200110,Earring 03200110,1 Earring,<p>Silver925 18kGP Zircon</p>,Y,,,,,,,240.00,120.00,2024032001109,,,Y,Y,240.00,1.000,1.000,Y,240.00,0.000,,Y,240.00,0.000,,Y
03250115-earring,03250115,Earring 03250115,1 Earring,<p>Titanium 18kGP</p>,Y,,,,,,,170.00,85.00,2024032501159,,,Y,Y,170.00,1.000,1.000,Y,170.00,0.000,,Y,170.00,0.000,,Y
04150110-earring,04150110,Earring 04150110,1 Earring,<p>Silver925 18kGP Zircon</p>,Y,,,,,,,120.00,60.00,2024041501102,,,Y,Y,120.00,1.000,1.000,Y,120.00,-1.000,,Y,120.00,0.000,,Y
04200104-earring,04200104,Earring 04200104,1 Earring,<p>Silver925 Zircon</p>,Y,,,,,,,250.00,125.00,2024042001045,,,Y,Y,250.00,2.000,1.000,Y,250.00,0.000,,Y,250.00,0.000,,Y
