Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [MCC],Price [MCC],In stock [MCC],Low stock [MCC],Available for sale [MOE],Price [MOE],In stock [MOE],Low stock [MOE],Available for sale [WareHouse],Price [WareHouse],In stock [WareHouse],Low stock [WareHouse],"Tax - ""VAT"" (5%)"
ring-2511050408,2511050408,Ring 2511050408,4 Ring,<p>SS 18kGP Zircon</p>,N,,,,,,,160.00,120.00,2025110504086,,,Y,Y,160.00,0.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
ring-2511050409,2511050409,Ring 2511050409,4 Ring,<p>SS 18kGP Zircon</p>,N,,,,,,,160.00,120.00,2025110504093,,,Y,Y,160.00,1.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
ring-2511060401,2511060401,Ring 2511060401,4 Ring,<p>SS 18kGP Zircon</p>,N,,,,,,,180.00,135.00,2025110604014,,,Y,Y,180.00,1.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
ring-2511060402,2511060402,Ring 2511060402,4 Ring,<p>SS 18kGP Zircon</p>,N,,,,,,,180.00,135.00,2025110604021,,,Y,Y,180.00,5.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
ring-2511060403,2511060403,Ring 2511060403,4 Ring,<p>SS 18kGP FW Pearl</p>,N,,,,,,,130.00,97.50,2025110604038,,,Y,Y,130.00,7.000,1.000,N,130.00,0.000,,Y,130.00,0.000,,Y
ring-2511060406,2511060406,Ring 2511060406,4 Ring,<p>SS 18kGP Zircon</p>,N,,,,,,,180.00,135.00,2025110604069,,,Y,Y,180.00,5.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
ring-2511060407,2511060407,Ring 2511060407,4 Ring,<p>Silver925 18KGP High-Carbon Diamond</p>,N,,,,,,,450.00,337.50,2025110604076,,,Y,Y,450.00,0.000,1.000,N,450.00,0.000,,Y,450.00,0.000,,Y
ring-2511060408,2511060408,Ring 2511060408,4 Ring,<p>SS 18kGP</p>,N,,,,,,,120.00,90.00,2025110604083,,,Y,Y,120.00,1.000,1.000,N,120.00,0.000,,Y,120.00,0.000,,Y
ring-2511060409,2511060409,Ring 2511060409,4 Ring,<p>SS 18kGP</p>,N,,,,,,,120.00,90.00,2025110604090,,,Y,Y,120.00,4.000,1.000,N,120.00,0.000,,Y,120.00,0.000,,Y
ring-2511060410,2511060410,Ring 2511060410,[1] 2603 품절,<p>SS 18kGP</p>,N,,,,,,,120.00,90.00,2025110604106,,,Y,Y,120.00,0.000,1.000,N,120.00,0.000,,Y,120.00,0.000,,Y
ring-2511070401,2511070401,Ring 2511070401,4 Ring,<p>SS 18kGP</p>,N,,,,,,,120.00,90.00,2025110704011,,,Y,Y,120.00,3.000,1.000,N,120.00,0.000,,Y,120.00,0.000,,Y
ring-2511070402,2511070402,Ring 2511070402,4 Ring,<p>SS 18kGP</p>,N,,,,,,,130.00,97.50,2025110704028,,,Y,Y,130.00,3.000,1.000,N,130.00,0.000,,Y,130.00,0.000,,Y
ring-2511070403,2511070403,Ring 2511070403,4 Ring,<p>SS 18kGP</p>,N,,,,,,,130.00,97.50,2025110704035,,,Y,Y,130.00,2.000,1.000,N,130.00,0.000,,Y,130.00,0.000,,Y
ring-2511070404,2511070404,Ring 2511070404,4 Ring,<p>SS 18kGP</p>,N,,,,,,,130.00,97.50,2025110704042,,,Y,Y,130.00,4.000,1.000,N,130.00,0.000,,Y,130.00,0.000,,Y
ring-2511070405,2511070405,Ring 2511070405,4 Ring,<p>SS 18kGP</p>,N,,,,,,,150.00,112.50,2025110704059,,,Y,Y,150.00,0.000,1.000,N,150.00,0.000,,Y,150.00,0.000,,Y
ring-2511070406,2511070406,Ring 2511070406,4 Ring,<p>SS 18kGP</p>,N,,,,,,,150.00,112.50,2025110704066,,,Y,Y,150.00,2.000,1.000,N,150.00,0.000,,Y,150.00,0.000,,Y
ring-2511070407,2511070407,Ring 2511070407,4 Ring,<p>SS 18kGP Natural Stone</p>,N,,,,,,,180.00,135.00,2025110704073,,,Y,Y,180.00,1.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
ring-2511070408,2511070408,Ring 2511070408,4 Ring,SS 18kGP Natural Stone,Y,,,,,,,180.00,135.00,2025110704080,,,Y,Y,180.00,1.000,1.000,Y,180.00,2.000,1.000,Y,180.00,0.000,,Y
